Date,Closing,Open,High,Low
8-Aug-14,180.85,183.75,186.35,179.4
11-Aug-14,189.15,180.85,189.65,180.85
12-Aug-14,184.6,189.1,189.1,183
13-Aug-14,185.25,184.7,188.1,184.5
14-Aug-14,184.1,185.3,187.4,181.1
15-Aug-14,188.75,184.2,189.25,182.5
18-Aug-14,188.9,188.95,190.4,186.15
19-Aug-14,182.2,189.1,189.65,182
20-Aug-14,184.1,183.5,184.25,178.65
21-Aug-14,183.75,185.15,186.3,181.85
22-Aug-14,181.6,182.7,185.8,181.4
25-Aug-14,182.75,182.35,184.75,180.55
26-Aug-14,193.1,183,193,183
27-Aug-14,192.4,193,197.7,192
28-Aug-14,194.65,193.2,193.6,192.05
29-Aug-14,195.75,195,195.9,193.45
2-Sep-14,204.45,200.1,204.7,200.1
3-Sep-14,197.3,203.1,203.2,198.2
4-Sep-14,197.45,196,196,192.1
5-Sep-14,192.85,196,196,196
8-Sep-14,189.65,192.3,192.3,188.7
9-Sep-14,188.1,190.8,190.8,190.8
10-Sep-14,177,185.85,185.85,176.2
11-Sep-14,180.55,177,179.8,176.55
12-Sep-14,179.65,178.2,178.2,178.05
15-Sep-14,177.3,179.35,179.35,177.5
16-Sep-14,180.6,177.65,180.1,176.95
17-Sep-14,180.65,179.2,179.85,179.2
18-Sep-14,180.93,186.13,187.1,180.88
19-Sep-14,178,180.9,182.85,176.4
22-Sep-14,179.4,178,179.85,176.4
23-Sep-14,180.9,179.75,184.75,179.4
24-Sep-14,189.1,181.5,189.8,180.9
25-Sep-14,182.3,187.25,187.55,179.45
26-Sep-14,186.05,181.15,188.2,180.15
29-Sep-14,191.25,185.55,191.95,185.2
30-Sep-14,193.35,191.45,197.3,188.55
1-Oct-14,200.4,194,201.85,193.7
2-Oct-14,208.6,200.4,213.75,200.2
3-Oct-14,206.5,208.9,211.6,205.4
6-Oct-14,220.8,208.7,225.5,208.7
7-Oct-14,216.35,220.85,224.55,215.1
8-Oct-14,214.45,215.2,221.4,211
9-Oct-14,221.65,214.6,222.4,214.45
10-Oct-14,220.4,221.65,223.7,218.5
13-Oct-14,218.1,222.05,225.45,217.6
14-Oct-14,221.9,217,222.8,216.2
15-Oct-14,216,222.65,224.55,214.5
16-Oct-14,217.1,217.65,220.65,216.3
17-Oct-14,210.65,215.5,216.65,208.5
20-Oct-14,199.4,206.35,206.35,197.2
21-Oct-14,199.6,195,201.3,191.8
22-Oct-14,191.1,199.6,200.85,190.8
23-Oct-14,193.3,191.9,194.8,189.3
24-Oct-14,191.5,193.5,193.85,188.45
27-Oct-14,190.9,188,192.2,188
28-Oct-14,192.35,191.05,192.85,188.8
29-Oct-14,189.6,192.35,193.85,189.45
30-Oct-14,187.6,189.95,190.95,186.25
31-Oct-14,188,188.35,189.9,185.65
3-Nov-14,185.85,188.95,192.8,185.65
4-Nov-14,188.2,185.85,189.45,182.1
5-Nov-14,186.25,188.1,188.5,184
6-Nov-14,183.75,187,187.25,183.3
7-Nov-14,182.4,183.25,185.2,182.25
10-Nov-14,181.4,182.4,186.25,181.1
11-Nov-14,184.55,181.95,184.8,181.5
12-Nov-14,184.4,184.15,186.75,183.15
13-Nov-14,188.75,184.1,190.1,184.1
14-Nov-14,192,189,193.4,189
17-Nov-14,187.5,192,193.7,186.3
18-Nov-14,191.1,188,191.5,186
19-Nov-14,197.85,191,199.75,190.95
20-Nov-14,187.7,197.8,197.8,187.6
21-Nov-14,189.65,188.6,190,187.5
24-Nov-14,189.65,190.5,196.2,189.5
25-Nov-14,194.25,189.9,195.4,187.8
26-Nov-14,193.5,195.05,195.05,191.25
27-Nov-14,194.07,194.07,194.07,194.07
28-Nov-14,186.65,193.4,193.4,186.4
